domain,chord_IP,chord_time,reg_IP,reg_time,eq,code,url
useloom.com,18.65.148.59_18.65.148.76_,2723,18.66.41.114,70.578523,0,200,https://useloom.com
finance.people.com.cn,138.113.149.153,1161,163.171.206.52,865.501822,0,200,https://finance.people.com.cn
10630672.fls.doubleclick.net,142.251.132.6,4273,142.250.70.38,64.151176,0,404,https://10630672.fls.doubleclick.net
pem.org,159.203.157.86,1678,159.203.157.86,318.76359,1,200,https://pem.org
wowza.com,13.32.27.48_13.32.27.72_13.32.27.124_,1109,18.172.78.2,102.500722,0,200,https://wowza.com
avalon.law.yale.edu,52.177.206.73,1204,52.177.206.73,336.686925,1,200,https://avalon.law.yale.edu
docs.gitlab.com,35.185.44.232,1102,35.185.44.232,3.805701,1,200,https://docs.gitlab.com
digwp.com,69.16.192.217,3353,69.16.192.217,62.226741,1,200,https://digwp.com
dvdtalk.com,188.114.96.0_188.114.97.0_,1088,172.67.156.158,127.150561,0,200,https://dvdtalk.com
9161809.fls.doubleclick.net,142.250.186.70,1111,142.250.70.38,68.085185,0,404,https://9161809.fls.doubleclick.net
okcupid.com,104.18.119.19,1068,104.18.118.19,99.411062,0,200,https://okcupid.com
humanrightsfirst.org,141.193.213.21_141.193.213.20_,2220,141.193.213.20,145.547873,1,403,https://humanrightsfirst.org
wiki.nci.nih.gov,129.43.254.224,3959,129.43.254.224,203.112688,1,200,https://wiki.nci.nih.gov
airbnb.com.au,54.209.106.80_54.157.23.217_,1097,54.157.23.217,120.985269,1,429,https://airbnb.com.au
living.corriere.it,18.245.31.69_18.245.31.68_,1092,65.9.112.4,236.744396,0,200,https://living.corriere.it
pytorch.org,185.199.109.153,2698,185.199.110.153,185.401214,0,200,https://pytorch.org
scaquarium.org,141.193.213.20,1432,141.193.213.20,183.658945,1,403,https://scaquarium.org
travelnoire.com,34.98.96.93,1103,34.98.96.93,61.992508,1,500,https://travelnoire.com
eurovisionworld.com,188.114.96.3_188.114.97.3_,457,172.67.223.123,67.681832,0,200,https://eurovisionworld.com
10083182.fls.doubleclick.net,142.250.185.230,1385,142.250.70.38,58.658167,0,404,https://10083182.fls.doubleclick.net
realityblurb.com,104.26.8.51_104.26.9.51_,439,172.67.74.53,67.092907,0,200,https://realityblurb.com
theory.lcs.mit.edu,128.30.2.128,1409,128.30.2.128,222.160788,1,200,http://theory.lcs.mit.edu
bestfriends.org,151.101.2.133_151.101.130.133_,1094,151.101.194.133,129.905763,0,200,https://bestfriends.org
securelist.com,35.173.160.135,1114,35.173.160.135,215.836202,1,200,https://securelist.com
joker123-36.weebly.com,199.34.228.53,1110,199.34.228.54,3.606366,0,404,https://joker123-36.weebly.com
matrox.com,104.18.19.14_104.18.18.14_,1104,104.18.18.14,101.722755,1,200,https://matrox.com
womensmediacenter.com,104.207.230.167,1393,104.207.230.167,258.774896,1,200,https://womensmediacenter.com
justicepolicy.org,104.21.83.152_172.67.177.218_,2334,104.21.83.152,67.675783,1,200,https://justicepolicy.org
9507558.fls.doubleclick.net,142.250.185.230,1383,142.250.70.38,59.758124,0,404,https://9507558.fls.doubleclick.net
mobile.facebook.com,157.240.16.16,2091,31.13.79.18,4.845329,0,200,https://mobile.facebook.com
aima.cs.berkeley.edu,128.32.244.190,1106,128.32.244.190,4203.906511,1,200,https://aima.cs.berkeley.edu
11158111.fls.doubleclick.net,142.250.67.134_216.58.203.38_172.217.166.70_,2090,142.250.70.38,64.286214,0,404,https://11158111.fls.doubleclick.net
trimet.org,216.25.208.100,1095,216.25.208.100,418.425676,1,200,https://trimet.org
blog.kaspersky.com,34.233.9.163,2430,34.233.9.163,64.280109,1,200,https://blog.kaspersky.com
osu.edu,99.83.250.163_75.2.76.225_,2285,99.83.250.163,331.062789,1,200,https://osu.edu
ben.lobaugh.net,164.90.244.231,1071,164.90.244.231,152.010436,1,200,https://ben.lobaugh.net
vk.ovg.ox.ac.uk,79.125.14.100,2746,79.125.14.100,562.744351,1,200,https://vk.ovg.ox.ac.uk
phoca.cz,213.211.34.110,1108,213.211.34.110,316.681393,1,200,https://phoca.cz
youmightnotneedjquery.com,185.199.111.153_185.199.109.153_,2475,185.199.110.153,99.18418,0,200,https://youmightnotneedjquery.com
klasikhoca.com,89.252.183.67,2692,89.252.183.67,453.183296,1,200,https://klasikhoca.com
roomfordebate.blogs.nytimes.com,151.101.193.164,1494,151.101.153.164,5.017306,0,200,https://roomfordebate.blogs.nytimes.com
ipage.com,65.254.244.120,1079,65.254.244.120,4.073293,1,403,https://ipage.com
simplebits.com,173.201.254.84,2660,173.201.254.84,155.847969,1,200,https://simplebits.com
textfiles.com,208.86.224.90,5086,208.86.224.90,109.835376,1,200,http://textfiles.com
pagina12.com.ar,172.67.41.55,1183,104.22.70.126,6.633922,0,200,https://pagina12.com.ar
blog.openstreetmap.org,193.60.236.19,2711,193.60.236.19,5.850951,1,200,https://blog.openstreetmap.org
election.princeton.edu,140.180.220.33,1092,140.180.220.33,4.014308,1,200,https://election.princeton.edu
snobette.com,141.193.213.10_141.193.213.11_,1100,141.193.213.10,69.427995,1,403,https://snobette.com
edsm.net,95.217.192.241,3977,95.217.192.241,66.022155,1,200,https://edsm.net
sigmaxi.org,20.62.145.128,2677,20.62.145.128,301.925197,1,200,https://sigmaxi.org
footmercato.net,89.145.161.181,1089,34.175.221.210,104.78164,0,200,https://footmercato.net
neil.fraser.name,51.195.151.70,1071,51.195.151.70,449.192345,1,200,https://neil.fraser.name
ihop.com,104.16.135.231,2489,104.16.135.231,100.63048,1,403,https://ihop.com
trans-siberian.com,100.20.194.206_35.167.190.2_,3335,100.20.194.206,66.426211,1,200,https://trans-siberian.com
tcc.edu,164.106.55.207,3983,164.106.55.207,306.33988,1,200,https://tcc.edu
businesscloud.co.uk,104.26.1.97,1097,104.26.0.97,31.783135,0,200,https://businesscloud.co.uk
ediblebajaarizona.com,3.33.152.147,1129,15.197.142.173,117.693243,0,200,http://ediblebajaarizona.com
news4sanantonio.com,13.226.2.93,3995,13.226.2.58,126.948169,0,200,https://news4sanantonio.com
surveys.google.com,142.250.218.177,3341,172.217.160.177,2.653677,0,200,https://surveys.google.com
onthemedia.org,3.221.251.66_18.209.198.161_,3982,18.209.198.161,55.129758,1,200,https://onthemedia.org
soas.ac.uk,151.101.194.216_151.101.130.216_,1107,151.101.2.216,182.046533,0,200,https://soas.ac.uk
8188202.fls.doubleclick.net,142.250.185.230,1203,142.250.70.38,58.260217,0,404,https://8188202.fls.doubleclick.net
panda.org,3.126.201.134,3946,3.126.201.134,142.847445,1,200,https://panda.org
mmbr.asm.org,172.64.152.5,3365,172.64.152.5,677.642689,1,403,https://mmbr.asm.org
gosquared.com,35.175.25.114_54.236.108.105_3.218.116.71_,2714,35.175.25.114,68.344942,1,200,https://gosquared.com
10438618.fls.doubleclick.net,142.250.186.70,1066,142.250.70.38,63.228519,0,404,https://10438618.fls.doubleclick.net
openwebdocs.org,75.2.60.5,3987,75.2.60.5,234.296618,1,200,https://openwebdocs.org
geopoliticalmonitor.com,104.21.57.10_172.67.188.183_,1082,172.67.188.183,68.858443,1,200,https://geopoliticalmonitor.com
verywellhealth.com,151.101.2.137_151.101.66.137_,1207,151.101.66.137,2.546014,1,405,http://verywellhealth.com
civic.mit.edu,185.199.109.153_185.199.111.153_,1192,185.199.108.153,215.042178,0,200,https://civic.mit.edu
gamewright.com,104.21.71.187_172.67.148.18_,2690,104.21.71.187,100.802356,1,200,https://gamewright.com
ohioline.osu.edu,3.141.180.165_52.14.192.222_,3324,52.14.192.222,220.388072,1,200,https://ohioline.osu.edu
ohdear.app,217.19.225.103,1074,217.19.225.103,176.300368,1,200,https://ohdear.app
